model,Tw,z,H,F,G,T,Fp,Gp,Tp
lopez,1.7,30.42,-0.9117996327817464,1.5061810876086258e-12,0.9999999999978074,1.0000000028093672,-1.3735562964091485e-12,1.9994832678774536e-12,-1.8477674921811317e-09
lopez,1.7,30.44,-0.911799632781806,1.4789589362384974e-12,0.9999999999978472,1.0000000027726537,-1.3487351488556659e-12,1.9633511709603233e-12,-1.8236650432736266e-09
lopez,1.7,30.46,-0.9117996327818646,1.452228700444482e-12,0.9999999999978859,1.0000000027364186,-1.3243625297416956e-12,1.927871996032876e-12,-1.7998769861713588e-09
lopez,1.7,30.48,-0.9117996327819222,1.4259814909793915e-12,0.9999999999979242,1.0000000027006566,-1.3004303338549878e-12,1.893033944353167e-12,-1.7763992199237482e-09
lopez,1.7,30.5,-0.9117996327819787,1.400208610406779e-12,0.9999999999979617,1.0000000026653606,-1.2769306308762437e-12,1.8588254717706e-12,-1.7532277075118755e-09
lopez,1.7,30.52,-0.9117996327820341,1.3749014356353161e-12,0.9999999999979986,1.0000000026305251,-1.2538555582740172e-12,1.825235132813221e-12,-1.7303584367645369e-09
lopez,1.7,30.54,-0.9117996327820888,1.3500516017458798e-12,0.9999999999980347,1.0000000025961446,-1.2311974889181858e-12,1.7922518246823265e-12,-1.7077874823613015e-09
lopez,1.7,30.560000000000002,-0.9117996327821423,1.325650814670924e-12,0.9999999999980702,1.0000000025622118,-1.2089488602810708e-12,1.7598645386208634e-12,-1.685510942983191e-09
lopez,1.7,30.580000000000002,-0.9117996327821948,1.3016909598307855e-12,0.9999999999981052,1.000000002528722,-1.1871022734919748e-12,1.7280625041069346e-12,-1.6635249782582698e-09
lopez,1.7,30.6,-0.9117996327822464,1.2781640977408789e-12,0.9999999999981394,1.000000002495669,-1.1656504893318127e-12,1.6968351830232076e-12,-1.6418258076839673e-09
lopez,1.7,30.62,-0.9117996327822971,1.255062356782818e-12,0.999999999998173,1.0000000024630469,-1.1445863304618855e-12,1.6661721273314942e-12,-1.620409674026583e-09
lopez,1.7,30.64,-0.9117996327823468,1.2323781010115974e-12,0.999999999998206,1.0000000024308506,-1.1239028344303955e-12,1.6360632018040527e-12,-1.599272901384602e-09
lopez,1.7,30.66,-0.9117996327823956,1.2101037591593198e-12,0.9999999999982384,1.000000002399074,-1.1035930977580993e-12,1.6064983570593885e-12,-1.5784118363328875e-09
lopez,1.7,30.68,-0.9117996327824436,1.1882319238042036e-12,0.9999999999982703,1.0000000023677122,-1.0836503663605825e-12,1.5774677611897686e-12,-1.5578228825206974e-09
lopez,1.7,30.7,-0.9117996327824907,1.1667553473606176e-12,0.9999999999983016,1.0000000023367595,-1.0640680318919849e-12,1.5489617944387762e-12,-1.5375024996625034e-09
lopez,1.7,30.72,-0.9117996327825368,1.1456668441948207e-12,0.9999999999983322,1.0000000023062106,-1.0448395424941324e-12,1.5209709192790447e-12,-1.5174471692631158e-09
lopez,1.7,30.740000000000002,-0.9117996327825824,1.124959443808318e-12,0.9999999999983624,1.0000000022760598,-1.0259585424691027e-12,1.493485883733288e-12,-1.4976534489915963e-09
lopez,1.7,30.76,-0.911799632782627,1.1046262347433446e-12,0.999999999998392,1.0000000022463027,-1.0074187299523136e-12,1.466497514189274e-12,-1.4781179175652227e-09
lopez,1.7,30.78,-0.9117996327826706,1.084660455109612e-12,0.999999999998421,1.0000000022169333,-9.892139394547078e-13,1.439996835556423e-12,-1.458837207149091e-09
lopez,1.7,30.8,-0.9117996327827137,1.0650554889238106e-12,0.9999999999984496,1.0000000021879474,-9.71338138525172e-13,1.4139750664072149e-12,-1.4398080024110735e-09
lopez,1.7,30.82,-0.911799632782756,1.0458047767556256e-12,0.9999999999984777,1.0000000021593396,-9.53785346277593e-13,1.3884235003771983e-12,-1.4210270084247993e-09
lopez,1.7,30.84,-0.9117996327827973,1.0269019555616901e-12,0.9999999999985052,1.0000000021311046,-9.365497608914022e-13,1.3633336917672936e-12,-1.4024910015885974e-09
