Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.04,adaptive_cubic,0,0.019830101578789047,0.002707591608716584,0.002917541567589025,0.020209654271983554,0.016774905315533526,0.0009891559483698675,0.11282010516767096,0.019830101578789047,0.020209654271983554,0.0009891559483698675,0.11282010516767096
1.04,adaptive_pchip,0,0.019830102011170678,0.002707591488273944,0.0029175413157009507,0.020209657209247583,0.016774873414890864,0.0009891559482572518,0.11282010516364853,0.019830102011170678,0.020209657209247583,0.0009891559482572518,0.11282010516364853
1.04,trapezoid,251,0.019830077305663163,0.002707591496172019,0.002917541587317519,0.020273119659389764,0.01677815359966011,0.0009895281544786037,0.1128151985721465,0.019830077305663163,0.020273119659389764,0.0009895281544786037,0.1128151985721465
1.04,simpson,251,0.019830197035217344,0.0027075921871723293,0.0029175415268317094,0.02021063957377161,0.016774799113052907,0.0009891607027679606,0.11282046500897681,0.019830197035217344,0.02021063957377161,0.0009891607027679606,0.11282046500897681
1.04,trapezoid,501,0.01983010016914564,0.0027075916180123658,0.0029175415808847037,0.020225677018773303,0.01677571234745841,0.0009892492374045793,0.11281889545709195,0.01983010016914564,0.020225677018773303,0.0009892492374045793,0.11281889545709195
1.04,simpson,501,0.019830107790274144,0.0027075916586258133,0.0029175415787404324,0.020209715135773295,0.016774898521022215,0.0009891562475895835,0.11282012783045135,0.019830107790274144,0.020209715135773295,0.0009891562475895835,0.11282012783045135
1.04,trapezoid,1001,0.01983010160625826,0.0027075916254439545,0.002917541579988611,0.02021366969804138,0.016775106535240746,0.000989179285563108,0.11281980380597326,0.01983010160625826,0.02021366969804138,0.000989179285563108,0.11281980380597326
1.04,simpson,1001,0.019830102085295672,0.002707591627921152,0.0029175415796899138,0.020209657900557308,0.016774904593193793,0.000989155967184574,0.1128201065937726,0.019830102085295672,0.020209657900557308,0.000989155967184574,0.1128201065937726
1.04,trapezoid,2001,0.019830101581827523,0.002707591609616828,0.0029175415684078413,0.02021065883071648,0.016774955749916862,0.0009891617835759766,0.11282002989221125,0.019830101581827523,0.02021065883071648,0.0009891617835759766,0.11282002989221125
1.04,simpson,2001,0.019830101573683947,0.0027075916043411185,0.0029175415645475845,0.02020965462147794,0.016774905487855086,0.000989155949511528,0.11282010525459209,0.019830101573683947,0.02020965462147794,0.000989155949511528,0.11282010525459209
1.04,trapezoid,4001,0.019830101580291228,0.0027075916086282624,0.0029175415676413225,0.02020990545134246,0.01677491793271419,0.0009891574072285437,0.11282008635290727,0.019830101580291228,0.02020990545134246,0.0009891574072285437,0.11282008635290727
1.04,simpson,4001,0.019830101579779127,0.0027075916082987413,0.0029175415673858168,0.020209654288173305,0.016774905326961905,0.000989155948441768,0.1128201051731581,0.019830101579779127,0.020209654288173305,0.000989155948441768,0.1128201051731581
1.04,trapezoid,8001,0.019830101580195374,0.002707591608566457,0.002917541567582635,0.020209717065159182,0.01677490847108353,0.0009891563130885836,0.11282010046427991,0.019830101580195374,0.020209717065159182,0.0009891563130885836,0.11282010046427991
1.04,simpson,8001,0.01983010158016342,0.002707591608545855,0.002917541567563072,0.020209654267469738,0.016774905317205515,0.0009891559483749953,0.11282010516807196,0.01983010158016342,0.020209654267469738,0.0009891559483749953,0.11282010516807196
