Tw,model,variable,z,value,d1_dz,d2_dz2
1.0,Boussinesq,F,2.68,0.0742541383517018,-0.05547417937956878,0.03195856345483694
1.0,Boussinesq,F,2.69,0.07370099458785333,-0.05515460158866725,0.031952893461295595
1.0,Boussinesq,F,2.7,0.07315104631992846,-0.054835121510342866,0.03194096540239899
1.0,Boussinesq,F,2.71,0.07260429215764648,-0.05451578228061926,0.031926715497054836
1.0,Boussinesq,F,2.72,0.07206073067431606,-0.05419658720040177,0.03191039395873396
1.0,Boussinesq,F,2.73,0.07152036041363845,-0.05387757440144458,0.031888438480631276
1.0,Boussinesq,F,2.74,0.07098317918628717,-0.053558818430789135,0.03186077462489223
1.0,Boussinesq,F,2.75,0.07044918404502266,-0.05324035890894674,0.03183097935426371
1.0,Boussinesq,F,2.7600000000000002,0.06991837200810824,-0.05292219884370386,0.03179932435071153
1.0,Boussinesq,F,2.77,0.06939074006814858,-0.0526043724219325,0.03176258216566197
1.0,Boussinesq,F,2.7800000000000002,0.06886628455966959,-0.05228694720039062,0.03172064811445319
1.0,Boussinesq,F,2.79,0.06834500112414077,-0.051969959459643444,0.031676763237431516
1.0,Boussinesq,F,2.8000000000000003,0.06782688537047672,-0.05165341193564199,0.03163121373461797
1.0,Boussinesq,F,2.81,0.06731193288542793,-0.051337335184951094,0.03158108490539746
1.0,Boussinesq,F,2.82,0.06680013866677773,-0.05102179023753406,0.03152624902245105
1.0,Boussinesq,F,2.83,0.06629149708067725,-0.05070681020450207,0.031469633412561926
1.0,Boussinesq,F,2.84,0.06578600246268769,-0.05039239756928282,0.03141153261456697
1.0,Boussinesq,F,2.85,0.06528364912929159,-0.050078579552210734,0.03134932365402854
1.0,Boussinesq,F,2.86,0.06478443087164348,-0.04976541109620225,0.03128286220068732
1.0,Boussinesq,F,2.87,0.06428834090736754,-0.04945292230819698,0.03121478297734015
1.0,Boussinesq,F,2.88,0.06379537242547954,-0.04914111543665545,0.031145383397102044
1.0,Boussinesq,F,2.89,0.06330551859863444,-0.04883001464025494,0.031072312251256395
1.0,Boussinesq,F,2.9,0.06281877213267445,-0.04851966919163031,0.030995414334755722
1.0,Boussinesq,F,2.91,0.06233512521480184,-0.04821010635355982,0.030917051807843432
