Tw , x_cheb                , F_i                    , G_i                  , minus_G_i             , H_i                    , T_i               , F_c                   , G_c                    , H_c                    , T_c               , rho_c             , dF_c_minus_i           , dG_c_minus_i_raw      , dG_c_minus_minus_Gi   , dH_c_minus_i           , dT_c_minus_i
1.9, 14.043601984806799    , 2.6905645094572254e-07 , 0.9999999997949404   , -0.9999999997949404   , -1.6464193766542552    , 1.0000001475074562, 1.9520013564178958e-05, -0.9999746254702152    , -0.8849970213734133    , 1.000641148767785 , 0.999359262040568 , 1.9250957113233236e-05 , -1.9999746252651556   , 2.5374324725158104e-05, 0.7614223552808419     , 0.000641001260328844
1.9, 14.34923681755053     , 1.8713105720472805e-07 , 0.9999999998760299   , -0.9999999998760299   , -1.6464195145773084    , 1.0000001026357364, 1.4898799589776005e-05, -0.9999806328500128    , -0.8849072403817332    , 1.0005278142464826, 0.999472464194431 , 1.4711668532571277e-05 , -1.9999806327260428   , 1.9367026017125255e-05, 0.7615122741955752     , 0.0005277116107462732
1.9, 14.665987140248156    , 1.2839145201391164e-07 , 0.999999999926411    , -0.999999999926411    , -1.6464196133547082    , 1.000000070467575 , 1.1260073851656267e-05, -0.9999853629701078    , -0.8848302355771728    , 1.0004314408380253, 0.9995687452228972, 1.1131682399642355e-05 , -1.9999853628965187   , 1.4636956303215598e-05, 0.7615893777775354     , 0.000431370370450157
1.9, 14.994580053350758    , 8.68020871105755e-08   , 0.9999999999571637   , -0.9999999999571637   , -1.646419683180687     , 1.000000047692557 , 8.421171446530375e-06 , -0.9999890533278701    , -0.8847646351475633    , 1.0003500090912671, 0.9996501133722335, 8.3343693594198e-06    , -1.999989053285034    , 1.0946629293573373e-05, 0.7616550480331237     , 0.0003499613987101302
1.9, 15.335789481896931    , 5.7754576570289887e-08 , 0.9999999999755796   , -0.9999999999755796   , -1.6464197318382094    , 1.0000000317843114, 6.228001987088378e-06 , -0.9999919042571264    , -0.8847091538125197    , 1.0002816709035152, 0.9997184084126417, 6.170247410518088e-06  , -1.9999919042327061   , 8.095718453282608e-06 , 0.7617105780256898     , 0.00028163911920375817
1.9, 15.690439889837357    , 3.776074314190839e-08  , 0.9999999999863858   , -0.9999999999863858   , -1.6464197652180237    , 1.0000000208314346, 4.551511959492052e-06 , -0.9999940835336296    , -0.8846625935772553    , 1.000224741193269 , 0.9997753093039862, 4.513751216350143e-06  , -1.9999940835200154   , 5.916452756160595e-06 , 0.7617571716407684     , 0.00022472036183440736
1.9, 16.059410391781316    , 2.4214528288023995e-08 , 0.9999999999925893   , -0.9999999999925893   , -1.6464197877211901    , 1.0000000134064553, 3.2843919552163674e-06, -0.9999957306599667    , -0.8846238425078455    , 1.0001776879983042, 0.9998223435691114, 3.2601774269283432e-06 , -1.999995730652556    , 4.2693326225418105e-06, 0.7617959452133446     , 0.00017767459184891976
1.9, 16.44363930697201     , 1.5191148051659247e-08 , 0.9999999999960685   , -0.9999999999960685   , -1.646419802598518     , 1.000000008455433 , 2.338234027832699e-06 , -0.9999969605637692    , -0.8845918759246194    , 1.0001391264863697, 0.9998608928671169, 2.3230428797810396e-06 , -1.9999969605598378   , 3.0394322992899347e-06, 0.7618279266738985     , 0.00013911803093669128
1.9, 16.84412920603207     , 9.290137191656054e-09  , 0.9999999999979722   , -0.9999999999979722   , -1.6464198122157858    , 1.00000000521175  , 1.6408544245030447e-06, -0.9999978670798779    , -0.884565755000266     , 1.0001078104747692, 0.9998922011470763, 1.6315642873113887e-06 , -1.99999786707785     , 2.1329180942553094e-06, 0.7618540572155198     , 0.00010780526301923388
1.9, 17.26195250762973     , 5.508480652536414e-09  , 0.9999999999989864   , -0.9999999999989864   , -1.646419818268088     , 1.0000000031264875, 1.1339421990764607e-06, -0.9999985260081639    , -0.8845446262823717    , 1.0000826258435802, 0.9999173809828857, 1.1284337184239243e-06 , -1.9999985260071502   , 1.473990822509208e-06 , 0.7618751919857163     , 8.26227170926952e-05
