Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.5,6.95,0.002105615099539274,0.9999101785507104,-0.9999101785507104,-1.444375689121681,1.0009390038759527,0.004822260047501583,-0.993679016415451,-0.8900893953647903,1.0189637574480734,0.9813891737468986,0.0027166449479623087,-1.9935891949661615,0.006231162135259427,0.5542862937568908,0.018024753572120744
1.5,6.96,0.002084255149998245,0.9999114696058417,-0.9999114696058417,-1.4444175874619805,1.00092927557881,0.004780923409722135,-0.9937336531103612,-0.8900827382635178,1.018846197254966,0.9815024119383843,0.00269666825972389,-1.9936451227162029,0.006177816495480437,0.5543348491984627,0.017916921676156106
1.5,6.97,0.0020631096892487597,0.9999127421085876,-0.9999127421085876,-1.4444590607345866,1.0009196479341143,0.004739937962062352,-0.9937878176878513,-0.8900758644483552,1.0187293564808706,0.9816149830553919,0.0026768282728135925,-1.993700559796439,0.006124924420736311,0.5543831962862314,0.017809708546756342
1.5,6.98,0.002042176577600339,0.9999139963290652,-0.9999139963290652,-1.444500113248761,1.0009101198930839,0.004699294220182105,-0.9938415230339904,-0.8900687816772138,1.0186132174001707,0.9817269037135826,0.002657117642581766,-1.9937555193630556,0.006072473295074765,0.5544313315715471,0.017703097507086873
1.5,6.99,0.0020214537201001244,0.9999152325289768,-0.9999152325289768,-1.4445407492213023,1.0009006904303,0.004658990839171609,-0.9938947710898317,-0.8900614926677816,1.018497778947995,0.9818381744856614,0.0026375371190714846,-1.9938100036188087,0.006020461439145142,0.5544792565535207,0.017597088517695036
1.5,7.0,0.002000939054670229,0.9999164509639544,-0.9999164509639544,-1.4445809728011694,1.0008913585374561,0.004619028822680045,-0.9939475606382934,-0.8900539986744239,1.018383044852778,0.9819487913259244,0.0026180897680098156,-1.993864011602248,0.005968890325661058,0.5545269741267455,0.01749168631532183
1.5,7.01,0.0019806305199904927,0.9999176518894969,-0.9999176518894969,-1.4446207881357622,1.0008821232066356,0.004579396662498405,-0.9939999072649107,-0.8900463084181225,1.0182689929892896,0.9820587751222217,0.0025987661425079128,-1.9939175591544076,0.005917744624586163,0.5545744797176397,0.017386869782654024
1.5,7.0200000000000005,0.0019605260577048368,0.9999188355605432,-0.9999188355605432,-1.4446601993663535,1.000872983431472,0.004540105362187465,-0.994051796323803,-0.8900384171775642,1.0181556477422498,0.9821681019179045,0.002579579304482628,-1.9939706318843462,0.005867039236740146,0.5546217821887893,0.01728266431077774
1.5,7.03,0.0019406236522183165,0.999920002224153,-0.999920002224153,-1.4446992105459873,1.0008639382278464,0.00450113373281533,-0.9941032563788691,-0.8900303391355898,1.0180429666894215,0.9822768121977253,0.0025605100805970137,-1.994023258603022,0.0058167458452839105,0.5546688714103974,0.017179028461575152
1.5,7.04,0.0019209213200270536,0.9999211521215807,-0.9999211521215807,-1.4447378256615926,1.0008549866282814,0.004462502310657795,-0.9941542599993667,-0.8900220641515632,1.017930994169635,0.982384862753627,0.0025415809906307414,-1.9940754121209474,0.00576689212221404,0.5547157615100294,0.017076007541353633
1.5,7.05,0.0019014170784039928,0.9999222854939464,-0.9999222854939464,-1.4447760486985028,1.0008461276657001,0.00442418457711431,-0.9942048428794273,-0.8900136093251365,1.0178196765359064,0.9824923049271805,0.002522767498710317,-1.9941271283733737,0.005717442614519008,0.5547624393733663,0.0169735488702063
1.5,7.0600000000000005,0.0018821089473669214,0.9999234025818616,-0.9999234025818616,-1.4448138836363869,1.0008373603744543,0.004386198452352029,-0.9942549811053591,-0.8900049662327807,1.017709052880239,0.9825991005679665,0.0025040895049851077,-1.994178383687221,0.005668421476502483,0.5548089174036062,0.016871692505784797
1.5,7.07,0.0018629949877943513,0.9999245036185624,-0.9999245036185624,-1.4448513343707436,1.000828683810077,0.004348524815865017,-0.9943047004305859,-0.8899961474661526,1.0175990847634815,0.9827052863676936,0.002485529828070666,-1.9942292040491485,0.005619803187976502,0.554855186904591,0.01677040095340443
1.5,7.08,0.0018440732918811448,0.9999255888317329,-0.9999255888317329,-1.4448884047326551,1.000820097044284,0.004311172880507085,-0.994353988619884,-0.8899871495826547,1.0174897930814188,0.9828108417397959,0.00246709958862594,-1.9942795774516169,0.005571600211848882,0.5549012551500004,0.016669696037134862
1.5,7.09,0.0018253419526174856,0.9999266584489217,-0.9999266584489217,-1.4449250985515727,1.0008115991491975,0.00427413290625506,-0.9944028588391073,-0.8899779796995059,1.0173811588884412,0.9829157845743564,0.002448790953637574,-1.9943295172880289,0.005523799609814417,0.5549471188520668,0.016569559739243678
