r,z,U,V,W,T,rho,mu,kappa,Mr,u_physical,v_rotating_physical,v_inertial_physical
2.0000000000000000e+01,1.5750000000000000e+01,2.5857490667834851e-06,-9.9999664495722684e-01,-8.4821399250389595e-01,1.0000804427856755e+00,9.9991956368484569e-01,1.0000639165168723e+00,1.3889776618289893e+00,2.9999999999999999e-01,5.1714981335669701e-05,-1.9999932899144536e+01,6.7100855463131381e-05
2.0000000000000000e+01,1.6000000000000000e+01,2.0763894064702710e-06,-9.9999730586022106e-01,-8.4820458721739778e-01,1.0000681183679816e+00,9.9993188627181440e-01,1.0000541241990499e+00,1.3889640613875693e+00,2.9999999999999999e-01,4.1527788129405417e-05,-1.9999946117204420e+01,5.3882795578719112e-05
2.0000000000000000e+01,1.6250000000000000e+01,1.6646712139249617e-06,-9.9999784007086900e-01,-8.4819645670136423e-01,1.0000575418529101e+00,9.9994246145796428e-01,1.0000457206254822e+00,1.3889523897576144e+00,2.9999999999999999e-01,3.3293424278499237e-05,-1.9999956801417380e+01,4.3198582619918824e-05
2.0000000000000000e+01,1.6500000000000000e+01,1.3318782874465363e-06,-9.9999827187423274e-01,-8.4818943053799700e-01,1.0000484653701958e+00,9.9995153697858252e-01,1.0000385088700330e+00,1.3889423734306015e+00,2.9999999999999999e-01,2.6637565748930724e-05,-1.9999965437484654e+01,3.4562515345282208e-05
2.0000000000000000e+01,1.6750000000000000e+01,1.0628816494569434e-06,-9.9999862090069247e-01,-8.4818336048569165e-01,1.0000406761934539e+00,9.9995932546103150e-01,1.0000323199242960e+00,1.3889337776726334e+00,2.9999999999999999e-01,2.1257632989138867e-05,-1.9999972418013851e+01,2.7581986150604365e-05
2.0000000000000000e+01,1.7000000000000000e+01,8.4545211371138891e-07,-9.9999890301797800e-01,-8.4817811771698060e-01,1.0000339917591292e+00,9.9996600939627123e-01,1.0000270087415506e+00,1.3889264010299314e+00,2.9999999999999999e-01,1.6909042274227779e-05,-1.9999978060359560e+01,2.1939640439949670e-05
2.0000000000000000e+01,1.7250000000000000e+01,6.6970455376061305e-07,-9.9999913105228722e-01,-8.4817359037453066e-01,1.0000282553909521e+00,9.9997174540739253e-01,1.0000224508408286e+00,1.3889200706122620e+00,2.9999999999999999e-01,1.3394091075212262e-05,-1.9999982621045746e+01,1.7378954255686807e-05
2.0000000000000000e+01,1.7500000000000000e+01,5.2764865137249769e-07,-9.9999931537122777e-01,-8.4816968141427107e-01,1.0000233326301056e+00,9.9997666791429340e-01,1.0000185393919185e+00,1.3889146380443314e+00,2.9999999999999999e-01,1.0552973027449954e-05,-1.9999986307424557e+01,1.3692575444590460e-05
2.0000000000000000e+01,1.7750000000000000e+01,4.1282573029211683e-07,-9.9999946435505060e-01,-8.4816630670637871e-01,1.0000191080853775e+00,9.9998089227973441e-01,1.0000151827132833e+00,1.3889099759906713e+00,2.9999999999999999e-01,8.2565146058423361e-06,-1.9999989287101013e+01,1.0712898987907948e-05
2.0000000000000000e+01,1.8000000000000000e+01,3.2001518472934013e-07,-9.9999958477757500e-01,-8.4816339336679203e-01,1.0000154827296970e+00,9.9998451751001427e-01,1.0000123021244751e+00,1.3889059751728821e+00,2.9999999999999999e-01,6.4003036945868028e-06,-1.9999991695551500e+01,8.3044484999739154e-06
2.0000000000000000e+01,1.8250000000000000e+01,2.4499716936284783e-07,-9.9999968211411006e-01,-8.4816087829402176e-01,1.0000123715798359e+00,9.9998762857321821e-01,1.0000098301028713e+00,1.3889025418095435e+00,2.9999999999999999e-01,4.8999433872569562e-06,-1.9999993642282202e+01,6.3577177988882738e-06
2.0000000000000000e+01,1.8500000000000000e+01,1.8436077100006772e-07,-9.9999976079035868e-01,-8.4815870688816752e-01,1.0000097017050129e+00,9.9999029838910924e-01,1.0000077087016384e+00,1.3888995954189423e+00,2.9999999999999999e-01,3.6872154200013545e-06,-1.9999995215807175e+01,4.7841928263459010e-06
2.0000000000000000e+01,1.8750000000000000e+01,1.3534894674370233e-07,-9.9999982438361568e-01,-8.4815683193116542e-01,1.0000074105177987e+00,9.9999258953711667e-01,1.0000058881919394e+00,1.3888970669332492e+00,2.9999999999999999e-01,2.7069789348740466e-06,-1.9999996487672313e+01,3.5123276864723607e-06
2.0000000000000000e+01,1.9000000000000000e+01,9.5733182994387775e-08,-9.9999987578540106e-01,-8.4815521260932814e-01,1.0000054443073270e+00,9.9999455572231333e-01,1.0000043258976099e+00,1.3888948970800139e+00,2.9999999999999999e-01,1.9146636598877554e-06,-1.9999997515708021e+01,2.4842919787992912e-06
2.0000000000000000e+01,1.9250000000000000e+01,6.3712179450097938e-08,-9.9999991733291960e-01,-8.4815381366117149e-01,1.0000037569804698e+00,9.9999624303364498e-01,1.0000029851950416e+00,1.3888930349931135e+00,2.9999999999999999e-01,1.2742435890019588e-06,-1.9999998346658391e+01,1.6533416080655172e-06
2.0000000000000000e+01,1.9500000000000000e+01,3.7829953598320711e-08,-9.9999995091532212e-01,-8.4815260463532294e-01,1.0000023089815051e+00,9.9999769102382630e-01,1.0000018346548580e+00,1.3888914370206362e+00,2.9999999999999999e-01,7.5659907196641420e-07,-1.9999999018306443e+01,9.8169355755572951e-07
2.0000000000000000e+01,1.9750000000000000e+01,1.6909643505294930e-08,-9.9999997805959762e-01,-8.4815155924496832e-01,1.0000010663649719e+00,9.9999893363616521e-01,1.0000008473052897e+00,1.3888900657017913e+00,2.9999999999999999e-01,3.3819287010589857e-07,-1.9999999561191952e+01,4.3880804767582049e-07
2.0000000000000000e+01,2.0000000000000000e+01,2.6915689624833237e-25,-1.0000000000000000e+00,-8.4815065480681895e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.3888888888888888e+00,2.9999999999999999e-01,5.3831379249666473e-24,-2.0000000000000000e+01,0.0000000000000000e+00
