r,z,U,V,W,T,rho,mu,kappa,Mr
8.5999999999999996e+00,1.8250000000000000e+01,2.4374226161108560e-07,-9.9999968381942805e-01,-8.4815208974973133e-01,1.0000122029075764e+00,9.9998779724133269e-01,1.0000096960811085e+00,1.3889023556682063e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.8500000000000000e+01,1.8341673333639023e-07,-9.9999976207324670e-01,-8.4814994756610351e-01,1.0000095694431150e+00,9.9999043064845838e-01,1.0000076036102929e+00,1.3888994494587403e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.8750000000000000e+01,1.3465607820351169e-07,-9.9999982532519283e-01,-8.4814809788703804e-01,1.0000073094984752e+00,9.9999269055495321e-01,1.0000058079249232e+00,1.3888969554512822e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.9000000000000000e+01,9.5243247327095931e-08,-9.9999987645120980e-01,-8.4814650043883921e-01,1.0000053700962335e+00,9.9999462993260435e-01,1.0000042669315798e+00,1.3888948151827498e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.9250000000000000e+01,6.3386203648366271e-08,-9.9999991777591679e-01,-8.4814512042706969e-01,1.0000037057726185e+00,9.9999629424111414e-01,1.0000029445067038e+00,1.3888929784815331e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.9500000000000000e+01,3.7636449107279682e-08,-9.9999995117829543e-01,-8.4814392780412207e-01,1.0000022775119473e+00,9.9999772249323982e-01,1.0000018096500036e+00,1.3888914022916719e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.9750000000000000e+01,1.6823168972797711e-08,-9.9999997817711805e-01,-8.4814289663208831e-01,1.0000010518321547e+00,9.9999894816895163e-01,1.0000008357579020e+00,1.3888900496637528e+00,1.2900000000000000e-01
8.5999999999999996e+00,2.0000000000000000e+01,-2.8877476103964851e-27,-1.0000000000000000e+00,-8.4814200452905597e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.3888888888888888e+00,1.2900000000000000e-01
9.0749999999999993e+00,0.0000000000000000e+00,4.1758355420414693e-23,-3.4081724416320854e-25,-3.0906989664508693e-26,1.5000000000000000e+00,6.6666666666666663e-01,1.3580981811706159e+00,1.8862474738480777e+00,1.3612500000000000e-01
9.0749999999999993e+00,2.5000000000000000e-01,7.4925831829346937e-02,-1.1063359600452811e-01,-3.7451324909733026e-02,1.4702956335283219e+00,6.8013532598220650e-01,1.3386942003518358e+00,1.8592975004886609e+00,1.3612500000000000e-01
9.0749999999999993e+00,5.0000000000000000e-01,1.2553393266226859e-01,-2.1811659390053029e-01,-9.9421860369854967e-02,1.4401710617445733e+00,6.9436195918881649e-01,1.3188073375867175e+00,1.8316768577593299e+00,1.3612500000000000e-01
9.0749999999999993e+00,7.5000000000000000e-01,1.5662903215894242e-01,-3.1936193504510091e-01,-1.7559681224576970e-01,1.4098065877275883e+00,7.0931715648446547e-01,1.2985438322181848e+00,1.8035331003030346e+00,1.3612500000000000e-01
9.0749999999999993e+00,1.0000000000000000e+00,1.7254991866993988e-01,-4.1252146855806449e-01,-2.5803841718483844e-01,1.3794407204763595e+00,7.2493147777649480e-01,1.2780540237900644e+00,1.7750750330417562e+00,1.3612500000000000e-01
9.0749999999999993e+00,1.2500000000000000e+00,1.7708061147970236e-01,-4.9667141287029742e-01,-3.4089720447050409e-01,1.3493490032286952e+00,7.4109811294722128e-01,1.2575204695330271e+00,1.7465562076847598e+00,1.3612500000000000e-01
9.0749999999999993e+00,1.5000000000000000e+00,1.7342017772616292e-01,-5.7155395851108393e-01,-4.2009880473504657e-01,1.3198226845297842e+00,7.5767753632471613e-01,1.2371450114561260e+00,1.7182569603557305e+00,1.3612500000000000e-01
9.0749999999999993e+00,1.7500000000000000e+00,1.6419398800477381e-01,-6.3737063696039753e-01,-4.9302643981892641e-01,1.2911485831379734e+00,7.7450419964031281e-01,1.2171355677066218e+00,1.6904660662591970e+00,1.3612500000000000e-01
9.0749999999999993e+00,2.0000000000000000e+00,1.5149271489667218e-01,-6.9462158350344450e-01,-5.5821565285242447e-01,1.2635915287718265e+00,7.9139498582423262e-01,1.1976935907879569e+00,1.6634633205388292e+00,1.3612500000000000e-01
9.0749999999999993e+00,2.2500000000000000e+00,1.3692839009355467e-01,-7.4398408563339480e-01,-6.1507419025555332e-01,1.2373804945517091e+00,8.0815885202901172e-01,1.1790031106844632e+00,1.6375043203950879e+00,1.3612500000000000e-01
9.0749999999999993e+00,2.5000000000000000e+00,1.2169930632434911e-01,-7.8622369310319595e-01,-6.6363609354073438e-01,1.2126990881672806e+00,8.2460687053972559e-01,1.1612221001935192e+00,1.6128084724909990e+00,1.3612500000000000e-01
9.0749999999999993e+00,2.7500000000000000e+00,1.0665755858626931e-01,-8.2213150279714908e-01,-7.0435513081355960e-01,1.1896805548942408e+00,8.4056177592050929e-01,1.1444766145948941e+00,1.5895508536040197e+00,1.3612500000000000e-01
9.0749999999999993e+00,3.0000000000000000e+00,9.2374674752107991e-02,-8.5248186429987949e-01,-7.3793900043178629e-01,1.1684069693439079e+00,8.5586617183696456e-01,1.1288578292100486e+00,1.5678580961250677e+00,1.3612500000000000e-01
