z_over_h,F_mode_abs,G_mode_abs,H_mode_abs,T_mode_abs
0.9755282581475768,0.061788746701854316,0.060648536618481824,0.051013676276074775,1.7308931410805875e-05
0.9794098674340965,0.05363291677278598,0.05106681363764208,0.036833536055429536,1.4561145952985749e-05
0.9829629131445341,0.04563104808394532,0.042275372261862953,0.02567086285834955,1.2047234895292046e-05
0.9861849601988383,0.037926880261434356,0.034290749274199034,0.017149875859421446,9.768253565322031e-06
0.9890738003669028,0.03065456893119242,0.027125153182564275,0.010879475146313215,7.725348644060538e-06
0.9916274537819773,0.023937170735014803,0.020787561358422624,0.006467337891941768,5.919676045243998e-06
0.9938441702975689,0.017885412036673185,0.01528460034935469,0.0035332279733346753,4.352339248123952e-06
0.9957224306869052,0.012596718217468852,0.010621212549866291,0.0017212541689308346,3.0243449933284333e-06
0.9972609476841368,0.008154473515671275,0.006801128335661829,0.0007108583880811324,1.9365731423502485e-06
0.998458666866564,0.00462747710992723,0.0038271741027731533,0.0002263592815151691,1.0897575505231778e-06
0.9993147673772869,0.0020695598036056745,0.0017014529619665578,4.491641066982074e-05,4.844749901842918e-07
0.9998286624877786,0.0005193272525726977,0.0004254361533980558,2.8149154168084217e-06,1.2113950227180208e-07
1.0,0.0,0.0,1.1520514053552398e-17,0.0
