Hinf,Tw,Fp0,Gp0,Tp0,nodes
-5.700000000000e-01,1.048365876188e+00,4.812356140826e-01,5.866669855436e-01,-1.455699486388e-02,6.180000000000e+02
-5.650000000000e-01,1.048490357579e+00,4.811856968079e-01,5.865178177930e-01,-1.458347119665e-02,6.180000000000e+02
-5.600000000000e-01,1.048601215596e+00,4.811443593207e-01,5.863765701010e-01,-1.460609963640e-02,6.180000000000e+02
-5.550000000000e-01,1.048698725539e+00,4.811114221185e-01,5.862431296518e-01,-1.462497225351e-02,6.180000000000e+02
-5.500000000000e-01,1.048783160836e+00,4.810867072730e-01,5.861173828001e-01,-1.464017977145e-02,6.180000000000e+02
-5.450000000000e-01,1.048854793057e+00,4.810700384481e-01,5.859992151012e-01,-1.465181159386e-02,6.180000000000e+02
-5.400000000000e-01,1.048913891922e+00,4.810612409130e-01,5.858885113387e-01,-1.465995583300e-02,6.180000000000e+02
-5.350000000000e-01,1.048960725322e+00,4.810601415544e-01,5.857851555498e-01,-1.466469933971e-02,6.180000000000e+02
-5.300000000000e-01,1.048995559346e+00,4.810665688833e-01,5.856890310470e-01,-1.466612773494e-02,6.180000000000e+02
-5.250000000000e-01,1.049018658314e+00,4.810803530397e-01,5.856000204366e-01,-1.466432544310e-02,6.180000000000e+02
-5.200000000000e-01,1.049030284811e+00,4.811013257926e-01,5.855180056334e-01,-1.465937572740e-02,6.180000000000e+02
-5.150000000000e-01,1.049030699740e+00,4.811293205358e-01,5.854428678707e-01,-1.465136072728e-02,6.180000000000e+02
-5.100000000000e-01,1.049020162377e+00,4.811641722798e-01,5.853744877065e-01,-1.464036149830e-02,6.180000000000e+02
-5.050000000000e-01,1.048998930436e+00,4.812057176376e-01,5.853127450231e-01,-1.462645805456e-02,6.180000000000e+02
-5.000000000000e-01,1.048967260148e+00,4.812537948062e-01,5.852575190218e-01,-1.460972941411e-02,6.180000000000e+02
-4.950000000000e-01,1.048925406349e+00,4.813082435413e-01,5.852086882112e-01,-1.459025364743e-02,6.180000000000e+02
-4.900000000000e-01,1.048873622579e+00,4.813689051265e-01,5.851661303881e-01,-1.456810792944e-02,6.180000000000e+02
-4.850000000000e-01,1.048812161205e+00,4.814356223350e-01,5.851297226102e-01,-1.454336859547e-02,6.180000000000e+02
-4.800000000000e-01,1.048741273543e+00,4.815082393838e-01,5.850993411613e-01,-1.451611120137e-02,6.180000000000e+02
-4.750000000000e-01,1.048661210013e+00,4.815866018799e-01,5.850748615057e-01,-1.448641058845e-02,6.180000000000e+02
-4.700000000000e-01,1.048572220308e+00,4.816705567570e-01,5.850561582327e-01,-1.445434095368e-02,6.180000000000e+02
-4.650000000000e-01,1.048474553576e+00,4.817599522025e-01,5.850431049896e-01,-1.441997592566e-02,6.180000000000e+02
-4.600000000000e-01,1.048368458637e+00,4.818546375736e-01,5.850355744012e-01,-1.438338864718e-02,6.180000000000e+02
-4.550000000000e-01,1.048254184222e+00,4.819544633012e-01,5.850334379752e-01,-1.434465186495e-02,6.180000000000e+02
-4.500000000000e-01,1.048131979233e+00,4.820592807802e-01,5.850365659918e-01,-1.430383802743e-02,6.180000000000e+02
-4.450000000000e-01,1.048002093049e+00,4.821689422449e-01,5.850448273756e-01,-1.426101939171e-02,6.180000000000e+02
-4.400000000000e-01,1.047864775855e+00,4.822833006285e-01,5.850580895469e-01,-1.421626814052e-02,6.180000000000e+02
-4.350000000000e-01,1.047720279018e+00,4.824022094029e-01,5.850762182525e-01,-1.416965651060e-02,6.180000000000e+02
-4.300000000000e-01,1.047568855503e+00,4.825255223990e-01,5.850990773698e-01,-1.412125693389e-02,6.180000000000e+02
