sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
upper,-0.05,1.0315604005761816,90,9,-3.636215983362023e-05,0.0,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,10,-8.058453933235205e-05,-1.4898781461521043e-05,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,11,-8.058453933235207e-05,1.489878146152104e-05,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,12,-8.432138717656018e-05,0.0,2,-1.3946724168013623e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,1,0.03767026016924342,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,2,0.002271641694838733,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,3,0.0001019260966609805,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,4,-1.7995141800266712e-06,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,5,-1.1448120765202644e-05,-3.9066073902625446e-06,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,6,-1.1448120765202645e-05,3.906607390262545e-06,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,7,-1.3353261011420096e-05,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,8,-3.8215673017155534e-05,0.0,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,9,-3.9790311895871506e-05,-1.0614586538615613e-05,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,10,-3.979031189587152e-05,1.0614586538615613e-05,3,-1.7995141800266712e-06,0.0
near_zero_limit,-0.02,1.031892726667345,50,11,-6.94374918023988e-05,0.0,3,-1.7995141800266712e-06,0.0
