T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.879,1.879,1.5898511031156664,1.0,0.8461155418390987,3.530641,2.987330222754337,1.0,0.5769050575704531,-0.15388445816090135,-0.15388445816090135
1.88,1.88,1.590427925855425,0.9999999999999999,0.8459723009869282,3.5343999999999998,2.9900045006081992,1.0,0.5767404428098181,-0.15402769901307176,-0.1540276990130717
1.881,1.881,1.5910045840429863,1.0,0.8458291249563988,3.538161,2.9926796225848573,1.0,0.5765759531506309,-0.15417087504360114,-0.15417087504360116
1.8820000000000001,1.8820000000000001,1.5915810778033783,1.0,0.8456860137106154,3.5419240000000007,2.995355588425958,1.0,0.5764115884468215,-0.15431398628938459,-0.15431398628938464
1.883,1.883,1.5921574072614832,1.0,0.8455429672126836,3.545689,2.998032397873373,1.0,0.5762473485525426,-0.1544570327873164,-0.15445703278731637
1.884,1.884,1.5927335725420377,0.9999999999999999,0.84539998542571,3.5494559999999997,3.0007100506691993,1.0,0.5760832333221682,-0.1546000145742899,-0.15460001457428987
1.885,1.885,1.5933095737696334,1.0,0.845257068312803,3.553225,3.0033885465557586,1.0,0.5759192426102946,-0.1547429316871971,-0.154742931687197
1.8860000000000001,1.8860000000000001,1.5938854110687164,1.0,0.8451142158370712,3.5569960000000003,3.006067885275599,1.0,0.5757553762717394,-0.1548857841629288,-0.15488578416292875
1.887,1.887,1.5944610845635865,1.0,0.844971427961625,3.560769,3.0087480665714876,1.0,0.5755916341615406,-0.15502857203837495,-0.15502857203837495
1.888,1.888,1.5950365943784004,1.0,0.8448287046495765,3.5645439999999997,3.01142909018642,1.0,0.575428016134957,-0.15517129535042348,-0.1551712953504235
1.889,1.889,1.5956119406371696,1.0,0.8446860458640391,3.5683209999999996,3.014110955863613,1.0,0.5752645220474678,-0.15531395413596105,-0.15531395413596094
1.8900000000000001,1.8900000000000001,1.5961871234637603,1.0,0.8445434515681272,3.5721000000000003,3.0167936633465073,1.0,0.5751011517547708,-0.1554565484318729,-0.15545654843187284
1.891,1.891,1.596762142981896,1.0,0.8444009217249582,3.575881,3.019477212378765,1.0,0.5749379051127844,-0.15559907827504185,-0.15559907827504182
1.892,1.892,1.5973369993151547,0.9999999999999999,0.8442584562976505,3.5796639999999997,3.022161602704273,1.0,0.574774781977645,-0.15574154370234947,-0.1557415437023494
1.893,1.893,1.597911692586972,1.0,0.844116055249325,3.583449,3.0248468340671377,1.0,0.5746117822057079,-0.15588394475067507,-0.15588394475067502
1.8940000000000001,1.8940000000000001,1.5984862229206396,1.0,0.8439737185431043,3.5872360000000003,3.0275329062116914,1.0,0.5744489056535461,-0.15602628145689573,-0.15602628145689568
1.895,1.895,1.5990605904393047,1.0,0.8438314461421133,3.591025,3.0302198188824825,1.0,0.5742861521779505,-0.1561685538578867,-0.15616855385788675
1.896,1.896,1.5996347952659733,1.0,0.8436892380094796,3.594816,3.0329075718242855,1.0,0.5741235216359297,-0.15631076199052038,-0.1563107619905204
1.897,1.897,1.600208837523507,1.0,0.8435470941083327,3.598609,3.035596164782093,1.0,0.5739610138847087,-0.15645290589166735,-0.15645290589166727
1.8980000000000001,1.8980000000000001,1.6007827173346256,1.0,0.8434050144018048,3.6024040000000004,3.0382855975011194,1.0,0.5737986287817286,-0.1565949855981952,-0.15659498559819518
1.899,1.899,1.6013564348219056,1.0,0.8432629988530308,3.6062010000000004,3.040975869726799,1.0,0.5736363661846481,-0.15673700114696915,-0.1567370011469692
1.9,1.9,1.6019299901077828,0.9999999999999999,0.8431210474251488,3.61,3.0436669812047876,1.0,0.5734742259513399,-0.15687895257485113,-0.1568789525748511
1.901,1.901,1.602503383314549,1.0,0.8429791600812988,3.613801,3.0463589316809574,1.0,0.5733122079398933,-0.15702083991870122,-0.1570208399187012
1.9020000000000001,1.9020000000000001,1.603076614564356,1.0,0.8428373367846246,3.6176040000000005,3.0490517209014056,1.0,0.5731503120086118,-0.15716266321537545,-0.15716266321537542
1.903,1.903,1.6036496839792125,1.0,0.8426955774982725,3.621409,3.051745348612441,1.0,0.5729885380160138,-0.15730442250172755,-0.1573044225017275
1.904,1.904,1.6042225916809871,1.0,0.8425538821853924,3.6252159999999995,3.0544398145605993,1.0,0.5728268858208323,-0.15744611781460757,-0.1574461178146076
1.905,1.905,1.6047953377914062,1.0,0.8424122508091371,3.629025,3.0571351184926288,1.0,0.5726653552820126,-0.15758774919086294,-0.15758774919086294
1.9060000000000001,1.9060000000000001,1.6053679224320565,1.0,0.8422706833326633,3.6328360000000006,3.0598312601555,1.0,0.5725039462587156,-0.15772931666733664,-0.1577293166673367
